,city,latitude,longitude,date,temperature,humidity,cloudiness,wind speed
0,Rikitea,-23.1203,-134.9692,1643609638,77.27,63,100,5.53
1,Dikson,73.5069,80.5464,1643609639,-3.37,94,100,22.3
2,Chicama,-7.8447,-79.1469,1643609639,64.94,85,96,3.36
3,Ushuaia,-54.8,-68.3,1643609639,42.46,75,100,8.05
4,Butaritari,3.0707,172.7902,1643609530,82.06,77,55,18.97
5,Narsaq,60.9167,-46.05,1643609640,21.96,84,100,14.56
6,Mataura,-46.1927,168.8643,1643609641,69.48,60,94,3.98
7,Port Alfred,-33.5906,26.891,1643609641,76.19,79,100,12.44
8,Albany,42.6001,-73.9662,1643609470,4.35,67,20,2.57
9,Fortuna,40.5982,-124.1573,1643609642,49.23,93,100,0.0
10,San Patricio,28.017,-97.5169,1643609642,62.55,83,100,11.77
11,Beloha,-25.1667,45.05,1643609642,83.25,45,20,10.98
12,Sola,-13.8833,167.55,1643609464,80.15,78,100,8.3
13,Semey,50.4111,80.2275,1643609643,14.22,73,0,4.47
14,Kaitangata,-46.2817,169.8464,1643609644,63.91,77,84,4.05
15,Pasni,25.2631,63.471,1643609644,72.48,59,0,8.79
16,Nānākuli,21.3906,-158.1547,1643609645,72.75,68,40,3.44
17,Suslovo,56.2167,88.1167,1643609645,14.52,82,33,2.57
18,Castro,-24.7911,-50.0119,1643609645,62.51,99,100,5.46
19,Gusau,12.1628,6.6614,1643609646,59.49,15,8,16.53
20,Vaini,-21.2,-175.2,1643609646,81.28,70,100,15.46
21,Busselton,-33.65,115.3333,1643609646,78.04,29,92,17.07
22,Sibolga,1.7427,98.7792,1643609647,85.57,66,91,5.59
23,Belle Fourche,44.6714,-103.8522,1643609647,41.04,30,94,7.29
24,Crotone,39.0851,17.1178,1643609648,41.94,69,0,5.19
25,Tilichiki,60.4667,166.1,1643609648,11.03,93,100,10.45
26,George Town,5.4112,100.3354,1643609509,89.89,63,20,8.05
27,Grindavik,63.8424,-22.4338,1643609649,28.87,74,100,6.91
28,Barrow,71.2906,-156.7887,1643609649,-7.58,84,0,13.8
29,Chokurdakh,70.6333,147.9167,1643609649,-23.51,97,63,2.46
30,Leh,34.1667,77.5833,1643609650,13.6,90,98,4.32
31,Salamiyah,35.0113,37.0532,1643609650,44.53,62,100,9.06
32,Mentougou,39.9392,116.0917,1643609651,31.14,22,0,16.75
33,Sisimiut,66.9395,-53.6735,1643609651,1.47,76,93,10.11
34,Cape Town,-33.9258,18.4232,1643609652,71.92,72,0,1.99
35,Khatanga,71.9667,102.5,1643609652,-6.25,99,98,7.23
36,Qaanaaq,77.484,-69.3632,1643609652,-6.9,91,100,5.97
37,Puerto Ayora,-0.7393,-90.3518,1643609653,72.75,85,100,5.48
38,Vanimo,-2.6741,141.3028,1643609653,80.04,75,100,11.48
39,Bowen,-20.0167,148.2333,1643609654,84.42,71,21,13.2
40,Bengkulu,-3.8004,102.2655,1643609615,85.39,64,90,6.91
41,Krasnaya Gorbatka,55.8703,41.7641,1643609654,23.05,96,100,9.6
42,Punta Arenas,-53.15,-70.9167,1643609655,48.31,71,40,14.97
43,Mahibadhoo,3.7833,72.9667,1643609655,82.65,75,3,12.37
44,Jamestown,42.097,-79.2353,1643609577,9.37,100,0,5.75
45,Bluff,-46.6,168.3333,1643609656,69.8,86,97,3.71
46,Hobart,-42.8794,147.3294,1643609371,78.62,58,20,1.01
47,Kavieng,-2.5744,150.7967,1643609656,83.64,69,94,2.51
48,Hermanus,-34.4187,19.2345,1643609377,74.8,76,100,12.8
49,Chui,-33.6971,-53.4616,1643609657,67.68,92,0,8.14
50,Mar del Plata,-38.0023,-57.5575,1643609657,60.87,67,75,5.99
51,Concarneau,47.875,-3.9225,1643609657,45.63,83,85,13.2
52,Goderich,43.7501,-81.7165,1643609658,21.42,73,96,9.22
53,Shubarkuduk,49.1447,56.4872,1643609658,27.34,97,100,12.5
54,Conceição do Araguaia,-8.2578,-49.2647,1643609659,70.63,98,100,2.53
55,Vao,-22.6667,167.4833,1643609659,79.72,78,56,2.8
56,Tasiilaq,65.6145,-37.6368,1643609660,4.8,62,100,6.67
57,Tiksi,71.6872,128.8694,1643609660,-13.59,99,100,3.53
58,Along,28.1667,94.7667,1643609660,68.92,33,2,2.55
59,Morshansk,53.4435,41.8107,1643609661,30.27,97,100,10.83
60,Longyearbyen,78.2186,15.6401,1643609661,8.44,66,40,23.02
61,Lebu,-37.6167,-73.65,1643609662,55.4,77,0,20.07
62,Paracuru,-3.41,-39.0306,1643609662,82.11,85,83,9.62
63,Hilo,19.7297,-155.09,1643609401,68.05,83,75,6.91
64,Ribeira Grande,38.5167,-28.7,1643609663,59.32,73,35,23.17
65,Ust'-Ordynskiy,52.805,104.7508,1643609663,1.24,90,100,0.56
66,Ouégoa,-20.35,164.4333,1643609663,81.39,73,100,7.23
67,Praia,14.9215,-23.5087,1643609664,68.54,83,75,18.41
68,Cockburn Town,21.4612,-71.1419,1643609664,73.44,82,97,18.59
69,Bethel,41.3712,-73.414,1643609665,10.96,70,0,0.0
70,Yellowknife,62.456,-114.3525,1643609665,-12.59,95,100,10.18
71,Olinda,-8.0089,-34.8553,1643609665,82.13,69,40,9.22
72,Sitka,57.0531,-135.33,1643609383,33.69,86,0,0.0
73,Nabire,-3.3667,135.4833,1643609666,83.62,63,98,6.15
74,Ust-Tsilma,65.441,52.1498,1643609666,8.08,95,100,5.26
75,Muros,42.7762,-9.0603,1643609667,43.2,84,2,12.46
76,Inírida,3.8653,-67.9239,1643609667,70.56,64,32,2.13
77,Benjamín Hill,30.1667,-111.1,1643609667,54.46,28,0,7.25
78,Mīnāb,27.1467,57.0801,1643609668,71.1,68,2,3.94
79,New Norfolk,-42.7826,147.0587,1643609465,82.31,37,1,4.0
80,Carlyle,38.6103,-89.3726,1643609545,26.29,77,98,2.8
81,Kahului,20.8947,-156.47,1643609415,71.28,70,75,5.75
82,Okhotsk,59.3833,143.3,1643609669,12.18,78,46,15.35
83,Dunedin,-45.8742,170.5036,1643609669,64.26,81,42,10.74
84,Upernavik,72.7868,-56.1549,1643609670,-12.84,94,100,5.77
85,Labuhan,-6.8844,112.2051,1643609670,84.31,75,95,10.25
86,College,64.8569,-147.8028,1643609670,-28.23,69,0,0.0
87,Alihe,50.5667,123.7167,1643609671,12.22,58,19,4.79
88,Rio Grande,-32.035,-52.0986,1643609671,66.94,76,0,13.71
89,Lüderitz,-26.6481,15.1594,1643609672,64.24,90,66,5.66
90,Waipawa,-41.4122,175.5153,1643609672,63.28,71,13,8.84
91,Klaksvík,62.2266,-6.589,1643609673,34.72,62,99,35.68
92,Ancud,-41.8697,-73.8203,1643609673,44.13,83,13,3.33
93,Kapaa,22.0752,-159.319,1643609673,70.12,70,20,6.91
94,Geraldton,-28.7667,114.6,1643609674,84.61,51,0,24.16
95,Pombia,45.653,8.6336,1643609674,34.59,91,28,6.91
96,Luganville,-15.5333,167.1667,1643609675,81.27,84,100,6.26
97,Grand-Bourg,15.8835,-61.3148,1643609675,71.55,74,9,16.58
98,Nong Khai,17.9167,103.0833,1643609675,89.98,42,58,7.92
99,Dossor,47.5272,52.9811,1643609676,31.75,86,77,6.55
100,Acapulco de Juárez,16.8634,-99.8901,1643609419,76.82,83,20,0.0
101,Carnarvon,-24.8667,113.6333,1643609676,89.67,58,19,20.71
102,Zhanakorgan,43.9098,67.2495,1643609677,31.66,53,100,4.21
103,Ugoofaaru,5.6667,73.0,1643609677,82.56,74,50,12.64
104,Weligama,5.9667,80.4167,1643609677,84.76,67,15,2.77
105,Walvis Bay,-22.9575,14.5053,1643609678,67.15,88,93,5.75
106,Constitución,-35.3333,-72.4167,1643609678,58.8,66,0,7.52
107,Alta Floresta,-9.8756,-56.0861,1643609679,69.39,99,100,2.8
108,Road Town,18.4167,-64.6167,1643609553,75.0,71,5,8.59
109,Kitui,-1.367,38.0106,1643609679,69.39,75,85,3.09
110,Mana,5.6592,-53.7767,1643609680,75.13,88,50,9.08
111,Brae,60.3964,-1.353,1643609680,39.11,52,100,31.27
112,Manta,-0.95,-80.7333,1643609680,74.98,88,75,2.3
113,Linaon,9.9499,122.4483,1643609681,83.34,72,53,13.56
114,Tsiroanomandidy,-18.7667,46.0333,1643609681,75.96,69,1,3.29
115,Bredasdorp,-34.5322,20.0403,1643609681,72.72,83,100,9.22
116,Westport,41.1415,-73.3579,1643609682,15.55,68,0,1.99
117,Rocha,-34.4833,-54.3333,1643609682,65.37,93,1,9.17
118,Yumen,40.2833,97.2,1643609683,23.07,26,100,11.05
119,Pangody,65.85,74.4859,1643609683,-3.71,97,95,8.19
120,Tuatapere,-46.1333,167.6833,1643609683,69.82,82,97,4.45
121,Arrondissement de Riom,45.9167,2.9167,1643609684,36.25,94,66,7.09
122,Nemuro,43.3236,145.575,1643609450,19.92,46,36,16.31
123,Campos dos Goytacazes,-21.75,-41.3,1643609684,73.51,97,99,5.08
124,Sucúa,-2.4667,-78.1667,1643609685,67.08,97,100,3.36
125,Guerrero Negro,27.9769,-114.0611,1643609459,59.49,70,71,9.37
126,Severo-Kuril'sk,50.6789,156.125,1643609685,28.56,81,98,14.2
127,Urubichá,-15.3833,-62.95,1643609686,70.65,99,61,2.95
128,Shimoda,34.6667,138.95,1643609686,46.45,65,90,8.5
129,Namatanai,-3.6667,152.4333,1643609686,83.62,74,95,5.57
130,Marsá Maţrūḩ,31.3525,27.2453,1643609687,57.11,65,20,20.62
131,Troitskoye,52.9821,84.6757,1643609687,15.37,85,40,2.28
132,Sorong,-0.8833,131.25,1643609688,83.1,68,94,15.75
133,Krasnosel'kup,65.7,82.4667,1643609688,5.83,94,99,10.8
134,Arraial do Cabo,-22.9661,-42.0278,1643609688,74.25,96,100,6.85
135,Bonthe,7.5264,-12.505,1643609689,73.83,93,2,2.77
136,San Carlos,9.6612,-68.5827,1643609689,68.11,72,26,4.34
137,Clyde River,70.4692,-68.5914,1643609689,-32.57,68,0,4.61
138,Ejido,8.5514,-71.2375,1643609690,64.4,91,100,1.77
139,Saint-Augustin,51.226,-58.6502,1643609468,1.9,91,64,8.25
140,Ilulissat,69.2167,-51.1,1643609690,-4.07,49,38,20.69
141,Bartlesville,36.7473,-95.9808,1643609691,29.5,69,0,0.0
142,Pisco,-13.7,-76.2167,1643609691,68.05,88,0,9.22
143,Broken Hill,-31.95,141.4333,1643609691,89.6,39,99,4.54
144,Tessalit,20.1986,1.0114,1643609692,62.15,18,2,8.1
145,Port Hedland,-20.3167,118.5667,1643609692,93.25,59,100,20.71
146,Henties Bay,-22.116,14.2845,1643609693,66.85,79,81,6.69
147,Abu Samrah,35.3029,37.1841,1643609693,44.33,64,100,3.33
148,Cherskiy,68.75,161.3,1643609694,-27.94,100,75,2.48
149,San Cristobal,7.7669,-72.225,1643609694,62.4,89,72,2.77
150,Qui Nhon,13.7667,109.2333,1643609694,78.8,74,77,8.41
